TimeStamp,Market,CcyPair,Bid,BidSize,Ask,AskSize
15.6255,AutoFx,EURUSD,1.4675,3000000,1.4679,2000000
15.6255,AutoFx,GBPUSD,0,0,0,0
15.6255,AutoFx,EURGBP,0,0,0,0
15.6255,AutoFx,USDCAD,1.0952,2000000,1.0955,5000000
15.6255,AutoFx,AUDUSD,0,0,0,0
15.6255,AutoFx,EURCHF,0,0,0,0
15.6255,AutoFx,EURJPY,0,0,0,0
15.6255,AutoFx,NZDUSD,0,0,0,0
15.6255,AutoFx,USDCHF,0,0,0,0
15.6255,AutoFx,USDJPY,0,0,0,0
15.6255,EasyFx,EURUSD,1.4677,3000000,1.4678,6000000
15.6255,EasyFx,GBPUSD,1.5873,2000000,1.5876,2000000
15.6255,EasyFx,EURGBP,0.92645,1000000,0.9267,3000000
15.6255,EasyFx,USDCAD,1.0951,1000000,1.0955,3000000
15.6255,EasyFx,AUDUSD,0.8688,1000000,0.8691,6000000
15.6255,EasyFx,EURCHF,1.5127,6000000,1.5129,3000000
15.6255,EasyFx,EURJPY,131.05,5000000,131.07,4000000
15.6255,EasyFx,NZDUSD,0,0,0,0
15.6255,EasyFx,USDCHF,1.0326,3000000,1.0327,1000000
15.6255,EasyFx,USDJPY,89.47,5000000,89.48,5000000
15.6255,FxPrime,EURUSD,1.46765,2000000,1.4678,1600000
15.6255,FxPrime,GBPUSD,1.5873,500000,1.5875,1572500
15.6255,FxPrime,EURGBP,0.9264,3900000,0.9266,1000000
15.6255,FxPrime,USDCAD,1.0952,200000,1.0954,100000
15.6255,FxPrime,AUDUSD,0.86885,4000000,0.869,740000
31.251,FxPrime,EURCHF,1.51265,7000000,1.5129,200000
31.251,FxPrime,EURJPY,131.04,200000,131.07,150000
31.251,FxPrime,NZDUSD,0.7163,1000000,0.7166,600000
31.251,FxPrime,USDCHF,1.0326,800000,1.0328,100000
31.251,FxPrime,USDJPY,89.47,500000,89.48,700000
31.251,eCurrencies,EURUSD,0,0,0,0
31.251,eCurrencies,GBPUSD,0,0,0,0
31.251,eCurrencies,EURGBP,0,0,0,0
31.251,eCurrencies,USDCAD,0,0,0,0
31.251,eCurrencies,AUDUSD,0,0,0,0
31.251,eCurrencies,EURCHF,0,0,0,0
31.251,eCurrencies,EURJPY,0,0,0,0
31.251,eCurrencies,NZDUSD,0,0,0,0
31.251,eCurrencies,USDCHF,0,0,0,0
31.251,eCurrencies,USDJPY,0,0,0,0
31.251,FxMart,EURUSD,0,0,0,0
31.251,FxMart,GBPUSD,0,0,0,0
31.251,FxMart,EURGBP,0,0,0,0
31.251,FxMart,USDCAD,0,0,0,0
31.251,FxMart,AUDUSD,0,0,0,0
31.251,FxMart,EURCHF,0,0,0,0
31.251,FxMart,EURJPY,0,0,0,0
31.251,FxMart,NZDUSD,0,0,0,0
31.251,FxMart,USDCHF,0,0,0,0
31.251,FxMart,USDJPY,0,0,0,0
171.8805,AutoFx,EURUSD,1.4675,3000000,1.4679,2000000
171.8805,AutoFx,GBPUSD,0,0,0,0
171.8805,AutoFx,EURGBP,0,0,0,0
171.8805,AutoFx,USDCAD,1.0952,2000000,1.0955,5000000
171.8805,AutoFx,AUDUSD,0,0,0,0
171.8805,AutoFx,EURCHF,0,0,0,0
171.8805,AutoFx,EURJPY,0,0,0,0
187.506,AutoFx,NZDUSD,0,0,0,0
187.506,AutoFx,USDCHF,0,0,0,0
187.506,AutoFx,USDJPY,0,0,0,0
203.1315,EasyFx,EURUSD,1.4677,3000000,1.4678,6000000
203.1315,EasyFx,GBPUSD,1.5873,2000000,1.5876,2000000
203.1315,EasyFx,EURGBP,0.92645,1000000,0.9267,3000000
203.1315,EasyFx,USDCAD,1.0951,1000000,1.0955,3000000
203.1315,EasyFx,AUDUSD,0.8688,1000000,0.8691,6000000
203.1315,EasyFx,EURCHF,1.5127,6000000,1.5129,3000000
203.1315,EasyFx,EURJPY,131.05,5000000,131.07,4000000
203.1315,EasyFx,NZDUSD,0,0,0,0
203.1315,EasyFx,USDCHF,1.0326,3000000,1.0327,1000000
203.1315,EasyFx,USDJPY,89.47,5000000,89.48,5000000
203.1315,FxPrime,EURUSD,1.46765,2000000,1.4678,1600000
203.1315,FxPrime,GBPUSD,1.5873,500000,1.5875,1572500
203.1315,FxPrime,EURGBP,0.9264,3900000,0.9266,1000000
203.1315,FxPrime,USDCAD,1.0952,200000,1.0954,1400000
203.1315,FxPrime,AUDUSD,0.86885,3000000,0.869,200000
203.1315,FxPrime,EURCHF,1.51265,7000000,1.5129,200000
203.1315,FxPrime,EURJPY,131.04,200000,131.07,150000
203.1315,FxPrime,NZDUSD,0.7163,1000000,0.7166,600000
203.1315,FxPrime,USDCHF,1.0326,800000,1.0328,100000
203.1315,FxPrime,USDJPY,89.47,500000,89.48,700000
203.1315,eCurrencies,EURUSD,0,0,0,0
203.1315,eCurrencies,GBPUSD,0,0,0,0
203.1315,eCurrencies,EURGBP,0,0,0,0
203.1315,eCurrencies,USDCAD,0,0,0,0
203.1315,eCurrencies,AUDUSD,0,0,0,0
203.1315,eCurrencies,EURCHF,0,0,0,0
203.1315,eCurrencies,EURJPY,0,0,0,0
203.1315,eCurrencies,NZDUSD,0,0,0,0
203.1315,eCurrencies,USDCHF,0,0,0,0
203.1315,eCurrencies,USDJPY,0,0,0,0
203.1315,FxMart,EURUSD,0,0,0,0
203.1315,FxMart,GBPUSD,0,0,0,0
203.1315,FxMart,EURGBP,0,0,0,0
203.1315,FxMart,USDCAD,0,0,0,0
203.1315,FxMart,AUDUSD,0,0,0,0
203.1315,FxMart,EURCHF,0,0,0,0
203.1315,FxMart,EURJPY,0,0,0,0
203.1315,FxMart,NZDUSD,0,0,0,0
203.1315,FxMart,USDCHF,0,0,0,0
203.1315,FxMart,USDJPY,0,0,0,0
265.6335,AutoFx,EURUSD,1.4675,2000000,1.4679,2000000
265.6335,AutoFx,GBPUSD,0,0,0,0
265.6335,AutoFx,EURGBP,0,0,0,0
265.6335,AutoFx,USDCAD,1.0951,4000000,1.0955,5000000
265.6335,AutoFx,AUDUSD,0,0,0,0
265.6335,AutoFx,EURCHF,0,0,0,0
265.6335,AutoFx,EURJPY,0,0,0,0
265.6335,AutoFx,NZDUSD,0,0,0,0
265.6335,AutoFx,USDCHF,0,0,0,0
265.6335,AutoFx,USDJPY,0,0,0,0
265.6335,EasyFx,EURUSD,1.4677,3000000,1.4678,6000000
265.6335,EasyFx,GBPUSD,1.5873,2000000,1.5876,2000000
265.6335,EasyFx,EURGBP,0.92645,1000000,0.9267,3000000
265.6335,EasyFx,USDCAD,1.0951,1000000,1.0955,3000000
265.6335,EasyFx,AUDUSD,0.8688,1000000,0.8691,6000000
265.6335,EasyFx,EURCHF,1.5127,6000000,1.5129,3000000
265.6335,EasyFx,EURJPY,131.05,5000000,131.07,4000000
265.6335,EasyFx,NZDUSD,0,0,0,0
265.6335,EasyFx,USDCHF,1.0326,3000000,1.0327,1000000
265.6335,EasyFx,USDJPY,89.47,5000000,89.48,5000000
265.6335,FxPrime,EURUSD,1.46765,2000000,1.4678,1600000
265.6335,FxPrime,GBPUSD,1.5873,500000,1.5875,1572500
265.6335,FxPrime,EURGBP,0.9264,3900000,0.9266,1000000
265.6335,FxPrime,USDCAD,1.0952,200000,1.0954,1400000
265.6335,FxPrime,AUDUSD,0.86885,3000000,0.869,200000
265.6335,FxPrime,EURCHF,1.51265,7000000,1.5129,200000
281.259,FxPrime,EURJPY,131.04,200000,131.07,150000
281.259,FxPrime,NZDUSD,0.7163,1000000,0.7166,600000
281.259,FxPrime,USDCHF,1.0326,800000,1.0328,100000
281.259,FxPrime,USDJPY,89.47,500000,89.48,700000
281.259,eCurrencies,EURUSD,0,0,0,0
281.259,eCurrencies,GBPUSD,0,0,0,0
281.259,eCurrencies,EURGBP,0,0,0,0
281.259,eCurrencies,USDCAD,0,0,0,0
281.259,eCurrencies,AUDUSD,0,0,0,0
281.259,eCurrencies,EURCHF,0,0,0,0
281.259,eCurrencies,EURJPY,0,0,0,0
281.259,eCurrencies,NZDUSD,0,0,0,0
281.259,eCurrencies,USDCHF,0,0,0,0
281.259,eCurrencies,USDJPY,0,0,0,0
281.259,FxMart,EURUSD,0,0,0,0
281.259,FxMart,GBPUSD,0,0,0,0
281.259,FxMart,EURGBP,0,0,0,0
281.259,FxMart,USDCAD,0,0,0,0
281.259,FxMart,AUDUSD,0,0,0,0
281.259,FxMart,EURCHF,0,0,0,0
281.259,FxMart,EURJPY,0,0,0,0
281.259,FxMart,NZDUSD,0,0,0,0
281.259,FxMart,USDCHF,0,0,0,0
281.259,FxMart,USDJPY,0,0,0,0
328.1355,AutoFx,EURUSD,1.4675,2000000,1.4679,2000000
328.1355,AutoFx,GBPUSD,0,0,0,0
328.1355,AutoFx,EURGBP,0,0,0,0
328.1355,AutoFx,USDCAD,1.0951,4000000,1.0955,5000000
328.1355,AutoFx,AUDUSD,0,0,0,0
328.1355,AutoFx,EURCHF,0,0,0,0
328.1355,AutoFx,EURJPY,0,0,0,0
328.1355,AutoFx,NZDUSD,0,0,0,0
328.1355,AutoFx,USDCHF,0,0,0,0
328.1355,AutoFx,USDJPY,0,0,0,0
328.1355,EasyFx,EURUSD,1.4677,3000000,1.4678,6000000
328.1355,EasyFx,GBPUSD,1.5873,2000000,1.5876,2000000
328.1355,EasyFx,EURGBP,0.92645,1000000,0.9267,3000000
328.1355,EasyFx,USDCAD,1.0951,1000000,1.0955,3000000
343.761,EasyFx,AUDUSD,0.8688,1000000,0.8691,6000000
343.761,EasyFx,EURCHF,1.5127,6000000,1.5129,3000000
343.761,EasyFx,EURJPY,131.05,5000000,131.07,4000000
343.761,EasyFx,NZDUSD,0,0,0,0
343.761,EasyFx,USDCHF,1.0326,3000000,1.0327,1000000
343.761,EasyFx,USDJPY,89.47,5000000,89.48,5000000
343.761,FxPrime,EURUSD,1.46765,2000000,1.4678,1600000
343.761,FxPrime,GBPUSD,1.5873,500000,1.5875,1572500
343.761,FxPrime,EURGBP,0.9264,3900000,0.9266,1000000
343.761,FxPrime,USDCAD,1.0952,200000,1.0954,1400000
343.761,FxPrime,AUDUSD,0.86885,3000000,0.869,200000
343.761,FxPrime,EURCHF,1.51265,7000000,1.5129,200000
343.761,FxPrime,EURJPY,131.04,200000,131.07,150000
343.761,FxPrime,NZDUSD,0.7163,1000000,0.7166,600000
343.761,FxPrime,USDCHF,1.0326,800000,1.0328,100000
343.761,FxPrime,USDJPY,89.47,500000,89.48,700000
343.761,eCurrencies,EURUSD,0,0,0,0
343.761,eCurrencies,GBPUSD,0,0,0,0
343.761,eCurrencies,EURGBP,0,0,0,0
343.761,eCurrencies,USDCAD,0,0,0,0
343.761,eCurrencies,AUDUSD,0,0,0,0
343.761,eCurrencies,EURCHF,0,0,0,0
343.761,eCurrencies,EURJPY,0,0,0,0
343.761,eCurrencies,NZDUSD,0,0,0,0
343.761,eCurrencies,USDCHF,0,0,0,0
343.761,eCurrencies,USDJPY,0,0,0,0
343.761,FxMart,EURUSD,0,0,0,0
343.761,FxMart,GBPUSD,0,0,0,0
343.761,FxMart,EURGBP,0,0,0,0
343.761,FxMart,USDCAD,0,0,0,0
343.761,FxMart,AUDUSD,0,0,0,0
343.761,FxMart,EURCHF,0,0,0,0
343.761,FxMart,EURJPY,0,0,0,0
343.761,FxMart,NZDUSD,0,0,0,0
359.3865,FxMart,USDCHF,0,0,0,0
359.3865,FxMart,USDJPY,0,0,0,0
437.514,AutoFx,EURUSD,1.4675,3000000,1.4679,2000000
437.514,AutoFx,GBPUSD,0,0,0,0
437.514,AutoFx,EURGBP,0,0,0,0
437.514,AutoFx,USDCAD,1.0952,1000000,1.0955,5000000
437.514,AutoFx,AUDUSD,0,0,0,0
437.514,AutoFx,EURCHF,0,0,0,0
437.514,AutoFx,EURJPY,0,0,0,0
437.514,AutoFx,NZDUSD,0,0,0,0
437.514,AutoFx,USDCHF,0,0,0,0
437.514,AutoFx,USDJPY,0,0,0,0
437.514,EasyFx,EURUSD,1.4677,2000000,1.4678,7000000
437.514,EasyFx,GBPUSD,1.5873,2000000,1.5876,2000000
437.514,EasyFx,EURGBP,0.92645,1000000,0.9267,4000000
437.514,EasyFx,USDCAD,1.0951,1000000,1.0955,3000000
437.514,EasyFx,AUDUSD,0.8688,1000000,0.8691,5000000
437.514,EasyFx,EURCHF,1.5127,6000000,1.5129,3000000
437.514,EasyFx,EURJPY,131.05,5000000,131.07,4000000
437.514,EasyFx,NZDUSD,0,0,0,0
437.514,EasyFx,USDCHF,1.0326,2000000,1.0327,1000000
437.514,EasyFx,USDJPY,89.47,5000000,89.48,4000000
453.1395,FxPrime,EURUSD,1.46765,2000000,1.4678,1600000
453.1395,FxPrime,GBPUSD,1.5873,500000,1.5875,1572500
453.1395,FxPrime,EURGBP,0.9264,3900000,0.9266,1000000
453.1395,FxPrime,USDCAD,1.0952,200000,1.0954,1400000
453.1395,FxPrime,AUDUSD,0.86885,3000000,0.869,200000
453.1395,FxPrime,EURCHF,1.51265,7000000,1.5129,200000
453.1395,FxPrime,EURJPY,131.04,200000,131.07,150000
453.1395,FxPrime,NZDUSD,0.7163,1000000,0.7166,600000
453.1395,FxPrime,USDCHF,1.0326,800000,1.0328,100000
453.1395,FxPrime,USDJPY,89.47,500000,89.48,700000
453.1395,eCurrencies,EURUSD,0,0,0,0
453.1395,eCurrencies,GBPUSD,0,0,0,0
453.1395,eCurrencies,EURGBP,0,0,0,0
453.1395,eCurrencies,USDCAD,0,0,0,0
453.1395,eCurrencies,AUDUSD,0,0,0,0
453.1395,eCurrencies,EURCHF,0,0,0,0
453.1395,eCurrencies,EURJPY,0,0,0,0
453.1395,eCurrencies,NZDUSD,0,0,0,0
453.1395,eCurrencies,USDCHF,0,0,0,0
453.1395,eCurrencies,USDJPY,0,0,0,0
453.1395,FxMart,EURUSD,0,0,0,0
453.1395,FxMart,GBPUSD,0,0,0,0
453.1395,FxMart,EURGBP,0,0,0,0
453.1395,FxMart,USDCAD,0,0,0,0
453.1395,FxMart,AUDUSD,0,0,0,0
453.1395,FxMart,EURCHF,0,0,0,0
453.1395,FxMart,EURJPY,0,0,0,0
453.1395,FxMart,NZDUSD,0,0,0,0
453.1395,FxMart,USDCHF,0,0,0,0
453.1395,FxMart,USDJPY,0,0,0,0
546.8925,AutoFx,EURUSD,1.4675,3000000,1.4679,2000000
